"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:19:44.4425069","node.exe","12232","Thread Exit","","SUCCESS","Thread ID: 19408, User Time: 0.0000000, Kernel Time: 0.0000000"
"15:19:46.4735150","node.exe","6060","Thread Exit","","SUCCESS","Thread ID: 3916, User Time: 0.0000000, Kernel Time: 0.0000000"
"15:19:48.4265627","ZCode.exe","16624","Thread Exit","","SUCCESS","Thread ID: 3112, User Time: 0.0000000, Kernel Time: 0.0000000"
"15:19:51.2215201","ZCode.exe","3104","CreateFile","C:\Program Files\ZCode\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:19:51.2217739","ZCode.exe","3104","CreateFile","C:\Program Files\ZCode\powershell.exe.com","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:19:51.2219950","ZCode.exe","3104","CreateFile","C:\Program Files\ZCode\powershell.exe.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:19:51.2223508","ZCode.exe","3104","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\java8path_target_64312687\powershell.exe","REPARSE","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: <unknown>"
"15:19:51.2226138","ZCode.exe","3104","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\java8path_target_64312687\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"15:19:51.2228197","ZCode.exe","3104","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\java8path_target_64312687\powershell.exe.com","REPARSE","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: <unknown>"
"15:19:51.2229964","ZCode.exe","3104","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\java8path_target_64312687\powershell.exe.com","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
